3,retail,110,tienda-C,casa-C,1
4,retail,95,tienda-A,casa-D,2
2,retail,12,tienda-B,casa-B,1
4,retail,95,tienda-A,casa-D,1
5,retail,8,pyme,casa-E,1
5,retail,8,pyme,casa-E,2
5,retail,8,pyme,casa-E,3
5,retail,8,pyme,casa-E,4
5,retail,8,pyme,casa-E,5
5,retail,8,pyme,casa-E,6
5,retail,8,pyme,casa-E,7
5,retail,8,pyme,casa-E,8
5,retail,8,pyme,casa-E,9
5,retail,8,pyme,casa-E,10
5,retail,8,pyme,casa-E,11
5,retail,8,pyme,casa-E,12
5,retail,8,pyme,casa-E,13
5,retail,8,pyme,casa-E,14
5,retail,8,pyme,casa-E,15
5,retail,8,pyme,casa-E,16
5,retail,8,pyme,casa-E,17
5,retail,8,pyme,casa-E,18
